Temporada,Nombre,Goles
2000-2001,Raúl,24
2000-2001,Rivaldo,23
2000-2001,Javi Moreno,22
2000-2001,Tristán,19
2000-2001,Kluivert,18
2000-2001,Dely Valdés,17
2000-2001,Catanha,16
2000-2001,Makaay,16
2000-2001,Oli,15
2000-2001,Iván Rosado,14
2000-2001,Guti,14
2000-2001,Víctor,14
2000-2001,Darío Silva,13
2000-2001,Jamelli,13
2000-2001,Juan Sánchez,12
2000-2001,Tamudo,11
2000-2001,Eto'o,11
2000-2001,Jankauskas,11
2000-2001,Carew,11
2000-2001,Esnáider,11
2000-2001,Urzaiz,10
2000-2001,Ibagaza,10
2000-2001,Míchel,10
2000-2001,Mendieta,10
2000-2001,Luis Enrique,9
2000-2001,Mostovoi,9
2000-2001,Djalminha,9
2000-2001,Luque,9
2000-2001,Mazzoni,9
2000-2001,Luis Cembranos,9
2000-2001,Figo,9
2000-2001,De Paula,9
2000-2001,Iván Alonso,8
2000-2001,Overmars,8
2000-2001,Guayre,8
2000-2001,Rosu,8
2000-2001,Bolic,8
2000-2001,Bolo,8
2000-2001,Jorge López,8
2000-2001,Pandiani,7
2000-2001,Rubén Navarro,7
2000-2001,Amavisca,7
2000-2001,Idiakez,7
2000-2001,Yeste,6
2000-2001,Velamazán,6
2000-2001,Orlando,6
2000-2001,Tomic,6
2000-2001,Quevedo,6
2000-2001,Morientes,6
2000-2001,Kaviedes,6
2000-2001,Pachón,6
2000-2001,Craioveanu,6
2000-2001,Palermo,6
2000-2001,José Ignacio,6
2000-2001,Etxeberría,5
2000-2001,Gustavo López,5
2000-2001,Karpin,5
2000-2001,Víctor,5
2000-2001,Finidi,5
2000-2001,José Manuel,5
2000-2001,Àlex Fernández,5
2000-2001,Armentano,5
2000-2001,Iván Ania,5
2000-2001,Hierro,5
2000-2001,Helguera,5
2000-2001,Roberto Carlos,5
2000-2001,De Pedro,5
2000-2001,Vicente,5
2000-2001,Caminero,5
2000-2001,Fernando,5
2000-2001,Guerrero,4
2000-2001,Larrazábal,4
2000-2001,Valerón,4
2000-2001,Posse,4
2000-2001,Sergio,4
2000-2001,Álvaro,4
2000-2001,Oulare,4
2000-2001,Agostinho,4
2000-2001,Rufete,4
2000-2001,Zárate,4
2000-2001,Carlitos,4
2000-2001,Marcos,4
2000-2001,Caco Morán,4
2000-2001,Ojeda,4
2000-2001,Danjou,4
2000-2001,Jaime,4
2000-2001,Losada,4
2000-2001,Paunovic,4
2000-2001,Regueiro,4
2000-2001,Khokhlov,4
2000-2001,Tayfun,4
2000-2001,Baraja,4
2000-2001,Alberto,4
2000-2001,Moisés,4
2000-2001,Acuña,4
2000-2001,Juanele,4
2000-2001,Yordi,4
2000-2001,Contra,3
2000-2001,Jordi Cruyff,3
2000-2001,Ezquerro,3
2000-2001,Javi González,3
2000-2001,Cocu,3
2000-2001,Frank de Boer,3
2000-2001,Edú,3
2000-2001,Donato,3
2000-2001,Fernando,3
2000-2001,Scaloni,3
2000-2001,Arteaga,3
2000-2001,Galca,3
2000-2001,Roger,3
2000-2001,Serrano,3
2000-2001,Eloy Jiménez,3
2000-2001,Pablo Lago,3
2000-2001,Canabal,3
2000-2001,Movilla,3
2000-2001,Musampa,3
2000-2001,Txomin Larrainzar,3
2000-2001,Álvaro Novo,3
2000-2001,Nadal,3
2000-2001,Pacheta,3
2000-2001,Cruchaga,3
2000-2001,Sabino,3
2000-2001,Onopko,3
2000-2001,Arzeno,3
2000-2001,Colsa,3
2000-2001,Magallanes,3
2000-2001,Preciado,3
2000-2001,Rushfeldt,3
2000-2001,Savio,3
2000-2001,Kily González,3
2000-2001,Zahovic,3
2000-2001,Eusebio,3
2000-2001,Gracia,3
2000-2001,Marioni,3
2000-2001,Unai,3
2000-2001,Eggen,2
2000-2001,Geli,2
2000-2001,Ibon Begoña,2
2000-2001,Magno,2
2000-2001,Téllez,2
2000-2001,Tomic,2
2000-2001,Vucko,2
2000-2001,Tiko,2
2000-2001,Alfonso,2
2000-2001,Gabri,2
