Temporada_Local,Jornada,Fecha,Tipo_Local,Equipo_Local,Marcador_Local,Marcador_Visitante,Equipo_Visita,Tipo_Visita
2000-2001,1,9/9/2000,Local,Barcelona,2,1,Málaga,Visitante
2000-2001,1,9/9/2000,Local,Deportivo de La Coruña,2,0,Athletic Club,Visitante
2000-2001,1,9/9/2000,Local,Real Sociedad,2,2,Racing de Santander,Visitante
2000-2001,1,9/9/2000,Local,Real Madrid,2,1,Valencia,Visitante
2000-2001,1,9/9/2000,Local,Real Zaragoza,1,2,Espanyol,Visitante
2000-2001,1,9/10/2000,Local,Las Palmas,0,3,Alavés,Visitante
2000-2001,1,9/10/2000,Local,Mallorca,1,1,Valladolid,Visitante
2000-2001,1,9/10/2000,Local,Numancia,1,0,Real Oviedo,Visitante
2000-2001,1,9/10/2000,Local,Osasuna,0,2,Celta de Vigo,Visitante
2000-2001,1,9/10/2000,Local,Villarreal,1,5,Rayo Vallecano,Visitante
2000-2001,2,9/16/2000,Local,Athletic Club,3,1,Barcelona,Visitante
2000-2001,2,9/16/2000,Local,Málaga,3,3,Real Madrid,Visitante
2000-2001,2,9/16/2000,Local,Racing de Santander,0,3,Deportivo de La Coruña,Visitante
2000-2001,2,9/16/2000,Local,Valencia,4,0,Mallorca,Visitante
2000-2001,2,9/16/2000,Local,Valladolid,2,0,Numancia,Visitante
2000-2001,2,9/17/2000,Local,Celta de Vigo,4,1,Real Sociedad,Visitante
2000-2001,2,9/17/2000,Local,Alavés,0,1,Villarreal,Visitante
2000-2001,2,9/17/2000,Local,Espanyol,1,2,Osasuna,Visitante
2000-2001,2,9/17/2000,Local,Rayo Vallecano,0,0,Real Zaragoza,Visitante
2000-2001,2,9/17/2000,Local,Real Oviedo,2,2,Las Palmas,Visitante
2000-2001,3,9/23/2000,Local,Barcelona,3,1,Racing de Santander,Visitante
2000-2001,3,9/23/2000,Local,Las Palmas,1,1,Valladolid,Visitante
2000-2001,3,9/23/2000,Local,Real Sociedad,1,1,Deportivo de La Coruña,Visitante
2000-2001,3,9/23/2000,Local,Real Madrid,4,1,Athletic Club,Visitante
2000-2001,3,9/23/2000,Local,Real Zaragoza,2,2,Alavés,Visitante
2000-2001,3,9/24/2000,Local,Celta de Vigo,1,0,Espanyol,Visitante
2000-2001,3,9/24/2000,Local,Mallorca,0,1,Málaga,Visitante
2000-2001,3,9/24/2000,Local,Numancia,0,3,Valencia,Visitante
2000-2001,3,9/24/2000,Local,Osasuna,2,2,Rayo Vallecano,Visitante
2000-2001,3,9/24/2000,Local,Villarreal,1,0,Real Oviedo,Visitante
2000-2001,4,9/30/2000,Local,Racing de Santander,0,0,Real Madrid,Visitante
2000-2001,4,10/1/2000,Local,Athletic Club,2,1,Mallorca,Visitante
2000-2001,4,10/1/2000,Local,Alavés,2,0,Osasuna,Visitante
2000-2001,4,10/1/2000,Local,Deportivo de La Coruña,2,0,Barcelona,Visitante
2000-2001,4,10/1/2000,Local,Málaga,1,3,Numancia,Visitante
2000-2001,4,10/1/2000,Local,Rayo Vallecano,3,0,Celta de Vigo,Visitante
2000-2001,4,10/1/2000,Local,Real Oviedo,2,1,Real Zaragoza,Visitante
2000-2001,4,10/1/2000,Local,Valencia,5,1,Las Palmas,Visitante
2000-2001,4,10/1/2000,Local,Valladolid,0,0,Villarreal,Visitante
2000-2001,4,10/18/2000,Local,Espanyol,1,2,Real Sociedad,Visitante
2000-2001,5,10/14/2000,Local,Espanyol,0,0,Rayo Vallecano,Visitante
2000-2001,5,10/14/2000,Local,Las Palmas,2,1,Málaga,Visitante
2000-2001,5,10/14/2000,Local,Real Sociedad,0,6,Barcelona,Visitante
2000-2001,5,10/14/2000,Local,Real Madrid,3,0,Deportivo de La Coruña,Visitante
2000-2001,5,10/14/2000,Local,Villarreal,1,1,Valencia,Visitante
2000-2001,5,10/15/2000,Local,Celta de Vigo,1,1,Alavés,Visitante
2000-2001,5,10/15/2000,Local,Mallorca,2,1,Racing de Santander,Visitante
2000-2001,5,10/15/2000,Local,Numancia,0,0,Athletic Club,Visitante
2000-2001,5,10/15/2000,Local,Osasuna,0,0,Real Oviedo,Visitante
2000-2001,5,10/15/2000,Local,Real Zaragoza,0,0,Valladolid,Visitante
2000-2001,6,10/21/2000,Local,Barcelona,2,0,Real Madrid,Visitante
2000-2001,6,10/21/2000,Local,Deportivo de La Coruña,1,1,Mallorca,Visitante
2000-2001,6,10/21/2000,Local,Valencia,1,0,Real Zaragoza,Visitante
2000-2001,6,10/22/2000,Local,Athletic Club,0,3,Las Palmas,Visitante
2000-2001,6,10/22/2000,Local,Alavés,1,0,Espanyol,Visitante
2000-2001,6,10/22/2000,Local,Málaga,2,1,Villarreal,Visitante
